"id","numero_expediente","titulo","tipo_expediente","fecha_inicio","vencimiento_cuatrienal","fecha_publicacion","numero_gaceta","numero_ley","creado_en"
"515","25087","LEY PARA LA PROHIBICIÓN DE LA DOBLE POSTULACIÓN EN EL RÉGIMEN MUNICIPAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-09","2029-07-09","2025-07-15","130","","2026-04-10T15:33:40.043913"
"516","25086","REFORMA AL ARTÍCULO 85 INCISO B) DEL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA SOBRE LAS COMPETENCIAS DE LA COMISIÓN DE ASUNTOS MUNICIPALES Y DESARROLLO LOCAL PARTICIPATIVO","PROCEDIMIENTO REFORMAS AL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA","2025-07-09","2029-07-09","2025-07-15","130","","2026-04-10T15:33:40.043913"
"517","25085","AUTORIZACIÓN AL ESTADO PARA ENAJENAR UN BIEN INMUEBLE DEMANIAL REGISTRADO A SU NOMBRE, Y QUE LO TRASPASE A TÍTULO GRATUITO EN DONACIÓN AL BENEMÉRITO CUERPO DE BOMBEROS DE COSTA RICA PARA EL DESARROLLO DE LA ESTACIÓN EN EL CANTÓN DE MONTEVERDE.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-08","2029-07-08","2025-07-15","130","","2026-04-10T15:33:40.043913"
"518","25084","REFORMA DEL ARTÍCULO 29 Y ADICIÓN DE UN ARTÍCULO 60 BIS, AMBOS DE LA LEY CONSTITUTIVA DE LA CAJA COSTARRICENSE DEL SEGURO SOCIAL, LEY 17 DEL 22 DE OCTUBRE DE 1943, PARA ESTABLECER CONDICIONES DIFERENCIADAS PARA EL PAGO DE LAS CUOTAS CONTRIBUTIVAS DE LOS TRABAJADORES INDEPENDIENTES.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-08","2029-07-08","2025-07-15","130","","2026-04-10T15:33:40.043913"
"519","25083","LEY DE CREACIÓN DEL FONDO ESPECIAL DE TECNOLOGÍA PARA LA SEGURIDAD NACIONAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-07","2029-07-07","2025-07-11","128","","2026-04-10T15:33:40.043913"
"520","25082","LEY DE AUTORIZACIÓN A LA MUNICIPALIDAD DE GRECIA PARA DONAR UN INMUEBLE DE SU PROPIEDAD A LA ASOCIACIÓN CRUZ ROJA COSTARRICENSE","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-07","2029-07-07","2025-07-11","128","","2026-04-10T15:33:40.043913"
"521","25081","REFORMA A LA LEY REGULADORA DE LA PROPIEDAD EN CONDOMINIO, LEY N.°7933","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-07","2029-07-07","2025-07-11","128","","2026-04-10T15:33:40.043913"
"522","25080","APROBACIÓN DEL ACUERDO SOBRE TRANSPORTE AÉREO ENTRE EL GOBIERNO DE LA REPÚBLICA DE COSTA RICA Y EL GOBIERNO DE LA REPÚBLICA DE EL SALVADOR","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-07","2029-07-07","2025-07-11","128","","2026-04-10T15:33:40.043913"
"523","25079","HABILITACIÓN DEL ALLANAMIENTO EN PROCEDIMIENTOS DE EXTRADICIÓN, REFORMA A LA LEY DE EXTRADICIÓN, LEY N°4795 DEL 16 DE JULIO DE 1971 Y SUS REFORMAS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-03","2029-07-03","2025-07-09","126","","2026-04-10T15:33:40.043913"
"524","25078","LEY DE APOYO A LA REACTIVACIÓN ECONÓMICA EN SERVICIOS TURISTICOS Y EN SERVICIOS DE INGENIERÍA, ARQUITECTURA, TOPOGRAFÍA Y CONSTRUCCIÓN DE OBRA CIVIL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-02","2029-07-02","2025-07-09","126","","2026-04-10T15:33:40.043913"
"525","25077","REFORMA DE LA LEY FORESTAL, LEY N.°7575, SUS REFORMAS Y REGLAMENTOS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-02","2029-07-02","2025-07-09","126","","2026-04-10T15:33:40.043913"
"526","25076","LEY DE MODERNIZACION DE LA OFICINA NACIONAL DE SEMILLAS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-02","2029-07-02","2025-07-15","130","","2026-04-10T15:33:40.043913"
"527","25075","INVESTIGACIÓN SOBRE TODO LO CONCERNIENTE A LA CONTRATACIÓN Y LOS PAGOS REALIZADOS POR LA COMISIÓN NACIONAL DE EMERGENCIAS (CNE) Y LOS ORGANISMOS EJECUTORES (CONAVI, INCOFER, MEP Y MIVAH) A LA ""OFICINA DE LAS NACIONES UNIDAS DE SERVICIOS PARA PROYECTOS (UNOPS)"", ORGANISMO INTERNACIONAL CONTRATADO COMO ASISTENCIA TÉCNICA PARA EL DESARROLLO Y EJECUCIÓN DEL PROGRAMA ""PROERI"".","PROCEDIMIENTO COMISIONES ESPECIALES INVESTIGADORAS","2025-07-02","2029-07-02","","","","2026-04-10T15:33:40.043913"
"528","25074","INVESTIGACIÓN EXHAUSTIVA SOBRE LA EVENTUAL UTILIZACIÓN DE RECURSOS, PERSONAL O INFRAESTRUCTURA DE LA DIS Y/O DE LA UEI PARA LABORES DE INVESTIGACIÓN, VIGILANCIA O SEGUIMIENTO NO AUTORIZADAS NI JUSTIFICADAS LEGALMENTE, DIRIGIDAS CONTRA FUNCIONARIOS DE LOS SUPREMOS PODERES, SUS ALLEGADOS O FAMILIARES.","PROCEDIMIENTO COMISIONES ESPECIALES INVESTIGADORAS","2025-07-02","2029-07-02","","","","2026-04-10T15:33:40.043913"
"529","25073","ADICIÓN DE UN ARTÍCULO 33 BIS A LA LEY N.º 3091, LEY ORGÁNICA DE JAPDEVA, DE 18 FEBRERO DE 1963, LEY DE APROVECHAMIENTO DE MULTAS GENERADAS POR LA CONCESIÓN DEL PUERTO DE MOÍN PARA EL DESARROLLO VIAL, EDUCATIVO Y DEPORTIVO DE LA PROVINCIA DE LIMÓN (ANTERIORMENTE DENOMINADO) ADICIÓN DE UN ARTÍCULO 33 BIS A LA LEY N.º 3091, LEY ORGÁNICA DE JAPDEVA DE 27 DE AGOSTO DE 1973, LEY DE APROVECHAMIENTO DE MULTAS GENERADAS POR LA CONCESIÓN DEL PUERTO DE MOÍN PARA EL DESARROLLO VIAL, EDUCATIVO Y DEPORTIVO DE LA PROVINCIA DE LIMÓN","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-01","2029-07-01","2025-07-09","126","","2026-04-10T15:33:40.043913"
"530","25072","JUSTICIA PARA LOS DUEÑOS DE LOS BOSQUES Y EL DERECHO A LA PROPIEDAD DE LA PENINSULA DE OSA Y EL PAIS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-01","2029-07-01","2025-07-09","126","","2026-04-10T15:33:40.043913"
"531","25071","REFORMA AL ARTÍCULO 2 DE LA LEY GENERAL DE CONTRATACIÓN PÚBLICA, LEY N.º 9986, DEL 27 DE MAYO DE 2021, Y SUS REFORMAS, PARA LA PROTECCIÓN DE LOS DATOS SENSIBLES DE LAS PERSONAS VÍCTIMAS DENTRO DEL PROCESO PENAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-01","2029-07-01","2025-07-09","126","","2026-04-10T15:33:40.043913"
"532","25070","REFORMA DEL ARTÍCULO 6, ADICIÓN DE UN INCISO AL ARTÍCULO 81 Y DEROGATORIA DE LOS ARTÍCULOS 13, 14, 15, 16 Y 17 DE LA LEY N.º 7410, LEY GENERAL DE POLICÍA, DE 26 DE MAYO DE 1994.CIERRE DE LA DIRECCIÓN DE INTELIGENCIA Y SEGURIDAD DEL ESTADO (DIS).","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-07-01","2029-07-01","2025-07-09","126","","2026-04-10T15:33:40.043913"
"533","25069","REFORMA A LA LEY ORGÁNICA DEL MINISTERIO DE AMBIENTE Y ENERGÍA: CREACIÓN DEL VICEMINISTERIO DE AGUA Y OCÉANO","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-30","2029-06-30","2025-07-09","126","","2026-04-10T15:33:40.043913"
"534","25068","INVESTIGACIÓN SOBRE LA FALTA DE IMPLEMENTACIÓN Y/O DEBILITAMIENTO DE POLÍTICAS PÚBLICAS DESTINADAS A MEJORAR LAS CONDICIONES DE LA VIDA DE LAS MUJERES JEFAS DE HOGAR.","PROCEDIMIENTO COMISIONES ESPECIALES INVESTIGADORAS","2025-06-27","2029-06-27","","","","2026-04-10T15:33:40.043913"
"535","25067","ADICIÓN DEL ARTÍCULO 5 BIS A LA LEY DE PROMOCIÓN DE LA IGUALDAD SOCIAL DE LA MUJER, N.º 7142 DE 28 DE MARZO DE 1990 Y REFORMA DEL INCISO 1 DEL ARTÍCULO 22 DE LA LEY GENERAL DE LA ADMINISTRACIÓN PÚBLICA, LEY N°6227","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-26","2029-06-26","2025-07-09","126","","2026-04-10T15:33:40.043913"
"565","25037","AUTORIZACIÓN AL ESTADO PARA QUE DESAFECTE, SEGREGUE Y DONE UN TERRENO DE SU PROPIEDAD AL BENEMÉRITO CUERPO DE BOMBEROS DE COSTA RICA EN CARIARI, POCOCÍ. ANTES DENOMINADO: LEY QUE AUTORIZA AL ESTADO A DESAFECTAR, SEGREGAR Y DONAR UN TERRENO DE SU PROPIEDAD AL BENEMÉRITO CUERPO DE BOMBEROS DE COSTA RICA EN CARIARI, POCOCÍ (ANTERIORMENTE DENOMINADO) LEY QUE AUTORIZA AL MINISTERIO DE EDUCACIÓN PÚBLICA A DESAFECTAR, SEGREGAR Y DONAR UN TERRENO DE SU PROPIEDAD AL BENEMÉRITO CUERPO DE BOMBEROS DE COSTA RICA EN CARIARI, POCOCÍ.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-09","2029-06-09","2025-06-24","115","","2026-04-10T15:33:40.043913"
"566","25036","REFORMA DE LA LEY 4795, LEY DE EXTRADICIÓN, DE 16 DE JULIO DE 1971. ANTES DENOMINADO: REFORMA DE LA LEY 4795, LEY DE EXTRADICIÓN, DE 16 DE JULIO DE 1971. INICIALMENTE DENOMINADO: REFORMA DE LA LEY DE EXTRADICIÓN, LEY N°4795 DEL 16 DE JULIO DE 1971 Y SUS REFORMAS.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","SI","2026-04-10T15:33:40.043913"
"567","25035","LEY QUE SANCIONA LA VIOLACIÓN DE COMUNICACIONES DE LOS CUERPOS POLICIALES Y DE EMERGENCIAS DEL PAÍS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"568","25034","MODIFICACIÓN DEL ARTÍCULO 18 DE LA LEY ORGÁNICA DEL AMBIENTE, LEY NÚMERO 7554 DEL 04 DE OCTUBRE DE 1995 Y SUS REFORMAS. LEY PARA GARANTIZAR LA IMPARCIALIDAD EN LAS EVALUACIONES DE IMPACTO AMBIENTAL.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"569","25033","LEY DE SEGURO AMBIENTAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"570","25032","ADICIÓN DE UN ARTÍCULO NUEVO A LA LEY ORGÁNICA DEL AMBIENTEL, N°7554 DEL 04 DE OCTUBRE DE 1995 Y SUS REFORMAS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"571","25031","REFORMA A LA LEY N°10.008 LEY PARA ATRAER TRABAJADORES Y PRESTADORES REMOTOS DE SERVICIOS DE CARÁCTER INTERNACIONAL (NÓMADAS DIGITALES), DE 11 DE AGOSTO DE 2021 PARA EL FORTALECIMIENTO Y COORDINACIÓN DEL TURISMO RURAL COMUNITARIO Y DEL RÉGIMEN DE NÓMADAS DIGITALES.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"572","25030","ADICIÓN DE UN PÁRRAFO FINAL AL ARTÍCULO 30 DE LA LEY N° 6043 LEY SOBRE LA ZONA MARÍTIMO TERRESTRE DE 2 DE MARZO DE 1977 Y SUS REFORMAS. LEY PARA LA PROMOCIÓN DE LA TRANSPARENCIA DE LAS CONCESIONES EN ZONA MARÍTIMO TERRESTRE","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"573","25029","REFORMA AL ARTÍCULO 17 DE LA LEY N°4240 LEY DE PLANIFICACIÓN URBANA DEL 15 DE NOVIEMBRE DE 1968 Y SUS REFORMAS. LEY PARA GARANTIZAR LA PARTICIPACIÓN CIUDADANA EN LOS PLANES DE ORDENAMIENTO TERRITORIAL.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"574","25028","LEY PARA LA GOBERNANZA MARINA DEMOCRÁTICA EN COSTA RICA","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-05","2029-06-05","2025-06-18","111","","2026-04-10T15:33:40.043913"
"575","25027","AMNISTÍA PARA EL ORDENAMIENTO DE POZOS NO INSCRITOS Y OTORGAMIENTO DE CONCESIONES PARA EL APROVECHAMIENTO DEL RECURSO HÍDRICO PARA CONSUMO HUMANO","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-04","2029-06-04","2025-06-18","111","","2026-04-10T15:33:40.043913"
"576","25026","REFORMA AL ARTÍCULO 265 BIS DE LA LEY GENERAL DE ADUANAS, N.° 7557 DE 20 DE OCTUBRE DE 1995","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-04","2029-06-04","2025-06-18","111","","2026-04-10T15:33:40.043913"
"577","25025","INFORME ANUAL DE LABORES DE LA DEFENSORÍA DE LOS HABITANTES CORRESPONDIENTE AL PERÍODO 2024-2025, EN CUMPLIMIENTO CON EL ARTÍCULO 15 DE LA LEY DE LA DEFENSORÍA DE LOS HABITANTES, N° 7319 Y SUS REFORMAS","PROCEDIMIENTO COMISIONES AD-HOC","2025-06-04","2029-06-04","","","","2026-04-10T15:33:40.043913"
"578","25024","APROBACIÓN DE LA ADHESIÓN DE COSTA RICA AL CONVENIO SOBRE LA PROTECCIÓN Y UTILIZACIÓN DE LOS CURSOS DE AGUAS TRANSFRONTERIZAS Y DE LOS LAGOS INTERNACIONALES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-03","2029-06-03","2025-06-11","106","","2026-04-10T15:33:40.043913"
"579","25023","LEY PARA COMBATIR EL INCUMPLIMIENTO DE MEDIDAS DE PROTECCIÓN A FAVOR DE LAS MUJERES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-03","2029-06-03","2025-06-11","106","","2026-04-10T15:33:40.043913"
"580","25022","ADICIÓN DE UN INCISO C) AL TRANSITORIO XI DE LA LEY MARCO DE EMPLEO PÚBLICO, LEY N°10.159, DE 8 DE MARZO DE 2022 Y SUS REFORMAS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-03","2029-06-03","2025-06-23","114","","2026-04-10T15:33:40.043913"
"581","25021","LEY PARA LA CONDONACIÓN TOTAL DE DEUDAS DE TITULACIÓN DE TERRENOS ANTE EL INDER PARA LOS PROPIETARIOS DEL ASENTAMIENTO CAMPESINO EL COCAL, SIQUIRRES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-02","2029-06-02","2025-06-23","114","","2026-04-10T15:33:40.043913"
"582","25020","LEY PARA PROMOVER LA INNOVACIÓN TECNOLÓGICA EN EL SISTEMA DE BANCA PARA EL DESARROLLO","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-02","2029-06-02","2025-06-11","106","","2026-04-10T15:33:40.043913"
"583","25019","LEY PARA LA SIMPLIFICACIÓN DEL CÁLCULO DE LA BASE IMPONIBLE EN IMPORTACIONES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-06-02","2029-06-02","2025-06-23","114","","2026-04-10T15:33:40.043913"
"584","25018","AUTORIZACIÓN AL INSTITUTO NACIONAL DE VIVIENDA Y URBANISMO (INVU) PARA LA DONACIÓN DE LOS TERRENOS DE LOS ASENTAMIENTOS LA COLINA, EL BAMBÚ, LIMONCITO Y LIRIOS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-20","113","","2026-04-10T15:33:40.043913"
"585","25017","REFORMA DE LA LEY 10.705, LEY PARA LA DINAMIZACIÓN DE LA ATENCIÓN DE LA POBLACIÓN VULNERABLE EN COSTA RICA, DE 26 DE MAYO DE 2025. ANTES DENOMINADO: MODIFICACION A LEY N.º 10.705 LEY PARA LA DINAMIZACIÓN DE LA ATENCIÓN DE LA POBLACIÓN VULNERABLE EN COSTA RICA","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-20","113","","2026-04-10T15:33:40.043913"
