"id","proyecto_id","organo","fecha_inicio","fecha_termino","tipo_tramite"
"10142","1043","PARLAMENTARIOS","2025-11-03","2025-11-03","PUBLICACION DE LA LEY"
"10143","1043","PARLAMENTARIOS","2025-10-15","2025-10-15","RECEPCION DEL EXPEDIENTE (PARLAMENTARIOS)"
"10144","1043","PLENA TERCERA","2025-10-15","2025-10-15","REMISIÓN AL DEPARTAMENTO DE SERVICIOS PARLAMENTARIOS (COMISIÓN PLENA)"
"10145","1043","PARLAMENTARIOS","2025-10-13","2025-10-13","REMISION DEL DECRETO LEGISLATIVO A CASA PRESIDENCIAL"
"10146","1043","PLENA TERCERA","2025-10-08","2025-10-08","VOTACIÓN SEGUNDO DEBATE (COMISIÓN PLENA)"
"10147","1043","PLENA TERCERA","2025-10-06","2025-10-08","INGRESO EN EL ORDEN DEL DÍA (COMISIÓN PLENA)"
"10148","1043","PLENA TERCERA","2025-10-06","2025-10-06","RECEPCIÓN REDACCIÓN FINAL (COMISIÓN PLENA)"
"10149","1043","REDACCION (ÁREA III)","2025-10-06","2025-10-06","REMISIÓN REDACCIÓN FINAL (COMISIÓN REDACCIÓN)"
"10150","1043","REDACCION (ÁREA III)","2025-10-06","2025-10-06","VOTACIÓN REDACCIÓN FINAL (COMISIÓN REDACCIÓN)"
"10151","1043","REDACCION (ÁREA III)","2025-10-02","2025-10-06","INGRESO EN EL ORDEN DEL DÍA (COMISIÓN REDACCIÓN)"
"10152","1043","REDACCION (ÁREA III)","2025-10-02","2025-10-02","RECEPCIÓN DEL EXPEDIENTE (COMISIÓN REDACCIÓN)"
"10153","1043","PLENA TERCERA","2025-10-02","2025-10-02","REMISIÓN DEL EXPEDIENTE A LA COMISIÓN DE REDACCIÓN (COMISION PLENA)"
"10154","1043","PLENA TERCERA","2025-10-01","2025-10-01","VOTACIÓN PRIMER DEBATE (COMISIÓN PLENA)"
"10155","1043","PLENA TERCERA","2025-09-11","2025-10-01","INGRESO EN EL ORDEN DEL DÍA (COMISIÓN PLENA)"
"10156","1043","PLENA TERCERA","2025-09-11","2025-09-11","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10157","1043","PLENARIO","2025-09-04","2025-09-04","DELEGACIÓN A UNA COMISIÓN PLENA (PLENARIO)"
"10158","1043","PLENARIO","2025-04-08","2025-04-08","INGRESO EN EL ORDEN DEL DIA (PLENARIO)"
"10159","1043","PLENARIO","2025-04-03","2025-04-03","RECEPCIÓN EN LA SECRETARÍA DEL DIRECTORIO (PLENARIO)"
"10160","1043","DISCAPACIDAD (ÁREA VII)","2025-04-03","2025-04-03","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10161","1043","DISCAPACIDAD (ÁREA VII)","2025-04-02","2025-04-02","DICTAMEN (COMISIÓN)"
